web-scraper-order,web-scraper-start-url,authors,authors-href,author_name,article_link,number_posts,bio
"1635888982-1150","https://quillette.com/sitemap-authors.xml","https://quillette.com/author/cody-kommers/","https://quillette.com/author/cody-kommers/","Cody Kommers","","1 Post","null"
"1635891962-1524","https://quillette.com/sitemap-authors.xml","https://quillette.com/author/ray-scott-percival/","https://quillette.com/author/ray-scott-percival/","Ray Scott Percival","","1 Post","null"
"1635891730-1497","https://quillette.com/sitemap-authors.xml","https://quillette.com/author/peggy-sastre/","https://quillette.com/author/peggy-sastre/","Peggy Sastre","","1 Post","null"
"1635890633-1365","https://quillette.com/sitemap-authors.xml","https://quillette.com/author/bradley-campbell-and-jason-manning/","https://quillette.com/author/bradley-campbell-and-jason-manning/","Bradley Campbell and Jason Manning","","2 Posts","Bradley Campbell is an associate professor of sociology at California State University, Los Angeles. Jason Manning is an associate professor of sociology at West Virginia University."
"1635894261-1748","https://quillette.com/sitemap-authors.xml","https://quillette.com/author/didier-maleuvre/","https://quillette.com/author/didier-maleuvre/","Didier Maleuvre","","","Didier Maleuvre is professor of literature at the University of California, Santa Barbara. He is the author, most recently, of The Art of Civilization: A Bourgeois History (Palgrave, 2016)"
"1635892365-1566","https://quillette.com/sitemap-authors.xml","https://quillette.com/author/rosalind-shorrocks/","https://quillette.com/author/rosalind-shorrocks/","Rosalind Shorrocks","","1 Post","null"
"1635888154-1064","https://quillette.com/sitemap-authors.xml","https://quillette.com/author/anthon-jackson/","https://quillette.com/author/anthon-jackson/","Anthon Jackson","","1 Post","null"
"1635888959-1147","https://quillette.com/sitemap-authors.xml","https://quillette.com/author/clifton-ross/","https://quillette.com/author/clifton-ross/","Clifton Ross","","4 Posts","null"
"1635888967-1148","https://quillette.com/sitemap-authors.xml","https://quillette.com/author/clint-margrave/","https://quillette.com/author/clint-margrave/","Clint Margrave","","5 Posts","null"
"1635892080-1536","https://quillette.com/sitemap-authors.xml","https://quillette.com/author/richard-hanania/","https://quillette.com/author/richard-hanania/","Richard Hanania","","2 Posts","null"
"1635890454-1346","https://quillette.com/sitemap-authors.xml","https://quillette.com/author/michael-sandel-and-glenn-loury/","https://quillette.com/author/michael-sandel-and-glenn-loury/","Michael Sandel and Glenn Loury","","1 Post","null"
"1635891139-1427","https://quillette.com/sitemap-authors.xml","https://quillette.com/author/mohamed-ali/","https://quillette.com/author/mohamed-ali/","Mohamed Ali","","2 Posts","null"
"1635888455-1105","https://quillette.com/sitemap-authors.xml","https://quillette.com/author/carlos-hiraldo/","https://quillette.com/author/carlos-hiraldo/","Carlos Hiraldo","","1 Post","null"
"1635893439-1659","https://quillette.com/sitemap-authors.xml","https://quillette.com/author/sumantra-maitra/","https://quillette.com/author/sumantra-maitra/","Sumantra Maitra","","28 Posts","null"
